"ID";"Type";"Name";"Documentation";"Source";"Target";"Specialization"
"id-674b3a61dc9b4157ae2505835dc71b36";"AssociationRelationship";"";"";"id-08bc8346417f44dd9251c58cab455d0b";"id-d17058d2bb654f21b18518f250c6e9e4";""
"id-f72d31ced8564f24b9c5bee8f9846446";"AssociationRelationship";"";"";"id-08bc8346417f44dd9251c58cab455d0b";"id-765f23d6e35b4b8b9f1cc91b44fde434";""
"id-7bcf6bffffba4d089fec3b64268cc17f";"AssociationRelationship";"";"";"id-365161b6bb3a4de9a1c1d502a64c7a4e";"id-08bc8346417f44dd9251c58cab455d0b";""
"id-6ad87d66965e4c3197bd7ca7257d4683";"AssociationRelationship";"";"";"id-903e0ba925464dc0a700bd57abf89286";"id-5204f01a814948919511915ca2d242a3";""
"id-4e634702da674a30bef7bbdc272a3259";"AssociationRelationship";"";"";"id-b7ff6693f1294c9dacaf41001322d5ff";"id-9141c1d2081a47919fefc3ba9fa101e1";""
"id-235b44f491f848ffa91cc57006e71b11";"AssociationRelationship";"";"";"id-0c0879cb84754eaaa410eb3c5442de61";"id-60a67ea9489947368a1fe9d806d7ba4c";""
"id-71a68e26ea7d4ca1ae9c115988cb18ff";"AssociationRelationship";"";"";"id-08bc8346417f44dd9251c58cab455d0b";"id-d1ab959fb10043b79d57681bfa1ded32";""
"id-2455bccc1b1344a895ae9f8e9df40791";"AssociationRelationship";"";"";"id-9141c1d2081a47919fefc3ba9fa101e1";"id-cea8599b5c1c4728bd5c05519c96a1b3";""
"id-75ba79f48cd84b5890c16667fb16b3e8";"AssociationRelationship";"";"";"id-0ba544a6012a498895f32ae98db33ed2";"id-9ec73d8aef3b44e293abd25f65104546";""
"id-412244cb96244d7caf1897c02cc7a636";"AssociationRelationship";"";"";"id-b53d97940df84862888e7e336f9aeee2";"id-c97ab788b568498a9353093994106da7";""
"id-70ec6b58efdf471496bd770db926a9ac";"AssociationRelationship";"";"";"id-a6f6e94dc459437b935879697783f87c";"id-801ccb342fab4858933fe1169d04660d";""
"id-96ce76cd4d904c3e93fe4095dd20366d";"AssociationRelationship";"";"";"id-d3875a13fcca4f399ca4b67ab0893f95";"id-a6f45c55789c4b0fa0702e54abfb8277";""
"id-98db91082372440788389409ca326d13";"AssociationRelationship";"";"";"id-f0b6f103fc8d4a558b79c875e0e48781";"id-a6f45c55789c4b0fa0702e54abfb8277";""
"id-e44baac67e814565bafae32093d417e7";"CompositionRelationship";"";"";"id-c0f1fbc9412040978270e0afb781dd70";"id-bcee79f5a155458e854c3347298eb478";""
"id-15b45e2597074907896547d5a1f7842a";"CompositionRelationship";"";"";"id-c0f1fbc9412040978270e0afb781dd70";"id-be7731859dff47ee99e3eb82546476c3";""
"id-3f4601ae78c74fdca8236f7c15f2b6ea";"CompositionRelationship";"";"";"id-c0f1fbc9412040978270e0afb781dd70";"id-648256d031d446c8965510d25f3c3e3a";""
"id-e9f3d6ef75324585b40d6823d6a7400e";"CompositionRelationship";"";"";"id-be7731859dff47ee99e3eb82546476c3";"id-d0f71d4638ab46289dbc9029bc081844";""
"id-17e8254c5df448d1acbd6daf498d49d0";"CompositionRelationship";"";"";"id-be7731859dff47ee99e3eb82546476c3";"id-17e3c13511e9469680c125e25db76d59";""
"id-e5c84bc9b2894566a93ed72199907ca8";"CompositionRelationship";"";"";"id-be7731859dff47ee99e3eb82546476c3";"id-b501050d4ec145759a3310408f1e6998";""
"id-ec0d56f956e94c0e8c44164d283c7d09";"CompositionRelationship";"";"";"id-6ee66f601fdb4419aaf304bf5f3f76ab";"id-fc85299545c146da9d83a70842a79dee";""
"id-0d2255f2bf454e029d4e6690ccb7907b";"CompositionRelationship";"";"";"id-6ee66f601fdb4419aaf304bf5f3f76ab";"id-bdd7abee05394ba9aa410ca0dcb49055";""
"id-b1becdf507784e92a5c8b9edb152bcb2";"CompositionRelationship";"";"";"id-6ee66f601fdb4419aaf304bf5f3f76ab";"id-78170a866bef4a7ab489e956abc1edde";""
"id-aa251f5bcace4d338d2159de01b33797";"CompositionRelationship";"";"";"id-6ee66f601fdb4419aaf304bf5f3f76ab";"id-dc81dac9f74b41349be573084f79da4e";""
"id-ed40ab8464744e9bb0ca563d7f0c9775";"CompositionRelationship";"";"";"id-e110352ee62a4c68aeb28f8c726a79a2";"id-e839844e0722436197cae58d75516e69";""
"id-b98b1dec4ac0485095e18fd947a07b0d";"CompositionRelationship";"";"";"id-e110352ee62a4c68aeb28f8c726a79a2";"id-53262f619fb0417da324ea92bb383a54";""
"id-cae393c768fc4fe0979925a6bb5ba019";"CompositionRelationship";"";"";"id-e110352ee62a4c68aeb28f8c726a79a2";"id-a68505d951bb4ae3baa772645b13007a";""
"id-48e40c7094e24b489359386c210ec4f8";"CompositionRelationship";"";"";"id-e110352ee62a4c68aeb28f8c726a79a2";"id-0b6bead2a3c34603a35e37417d7ff84c";""
"id-cdb185673c69407aba26f41aed903775";"CompositionRelationship";"";"";"id-e110352ee62a4c68aeb28f8c726a79a2";"id-b460d38c1d3a41688552cb42fc8bb13f";""
"id-406202074b04493e8f8ed0500ac7b5c6";"CompositionRelationship";"";"";"id-714d3a357cfa4ba38b83383d8e9e08f0";"id-268a8f0b7154488fa2ff2bccb546029a";""
"id-1cadbd9db7904b43a1a57db82963935c";"CompositionRelationship";"";"";"id-714d3a357cfa4ba38b83383d8e9e08f0";"id-0fef3d404dbd43689f6007da67408944";""
"id-418277e25c3c466f937c2a7aa21a62c0";"CompositionRelationship";"";"";"id-603bc0734c3a4103aa59f4ff6db2de98";"id-5843addb1e6746d988c44eb85e61891a";""
"id-7267cfd6d8f14eb3b20eeab7e2bfdb21";"CompositionRelationship";"";"";"id-603bc0734c3a4103aa59f4ff6db2de98";"id-efbb7f52d2e44b5a8788f2eb10cc647d";""
"id-94d4d94140d047aca9188a28c35520af";"CompositionRelationship";"";"";"id-2c49db3792914efc84df5d175266d61b";"id-512c1b8e2ec346bd8e819efc48770f26";""
"id-56d15ee3dd274ff0863bdb554678c535";"CompositionRelationship";"";"";"id-2c49db3792914efc84df5d175266d61b";"id-ed94698db9a8477fb513e71403eafefb";""
"id-657c0aa666d7454eb19b59e2936bedf2";"CompositionRelationship";"";"";"id-7f35d538c5d14fb5ac40aeb904626a78";"id-f7027cd835f4406aa6b60e5afe000ecc";""
"id-d5fb333c990846e5bd82c4261df4ad13";"CompositionRelationship";"";"";"id-7f35d538c5d14fb5ac40aeb904626a78";"id-93f0fe72d39f4eeaa4d67c1e17f5d607";""
"id-6710a94452304433b0c6c39c2b90b278";"CompositionRelationship";"";"";"id-7f35d538c5d14fb5ac40aeb904626a78";"id-5c652eda82634f3f93e402a83446a2ad";""
"id-21a5c741213444dabbb3d576855d10dd";"CompositionRelationship";"";"";"id-7f35d538c5d14fb5ac40aeb904626a78";"id-c641b330052e433d8ed155cc47c6c857";""
